                                                Industry Mean Price
1                                    Aerospace & Defense 125.521316
2                                Air Freight & Logistics  57.094737
3                                               Airlines  40.827955
4                                        Auto Components  29.664476
5                                            Automobiles 131.094615
6                                                  Banks  31.717829
7                                              Beverages  77.030429
8                                          Biotechnology  27.146632
9                                      Building Products  49.315244
10                                       Capital Markets  74.455577
11                                             Chemicals  65.915782
12                        Commercial Services & Supplies  43.001304
13                              Communications Equipment  32.624253
14                            Construction & Engineering  33.553548
15                                Construction Materials  80.834483
16                                      Consumer Finance  49.980862
17                                Containers & Packaging  49.176731
18                                          Distributors  44.406154
19                         Diversified Consumer Services  42.393363
20                        Diversified Financial Services  40.841563
21                Diversified Telecommunication Services  29.034344
22                                    Electric Utilities  73.741170
23                                  Electrical Equipment  38.924418
24        Electronic Equipment, Instruments & Components  37.707944
25                           Energy Equipment & Services   8.512531
26                                         Entertainment  64.774492
27          Equity Real Estate Investment Trusts (REITs)  60.195759
28                              Food & Staples Retailing  59.495014
29                                         Food Products  92.369766
30                                         Gas Utilities  65.642083
31                      Health Care Equipment & Supplies  68.657993
32                      Health Care Providers & Services  73.256639
33                                Health Care Technology  31.871062
34                         Hotels, Restaurants & Leisure  56.445403
35                                    Household Durables 146.014026
36                                    Household Products  89.041053
37 Independent Power and Renewable Electricity Producers  21.086071
38                              Industrial Conglomerates 136.155769
39                                             Insurance  82.023539
40                          Interactive Media & Services 173.453439
41                    Internet & Direct Marketing Retail 208.913968
42                                           IT Services  74.446165
43                                      Leisure Products  28.744269
44                        Life Sciences Tools & Services 116.028800
45                                             Machinery  56.881618
46                                                Marine   7.910839
47                                                 Media  55.567500
48                                       Metals & Mining  24.080409
49        Mortgage Real Estate Investment Trusts (REITs)  14.280417
50                                       Multi-Utilities  75.098200
51                                      Multiline Retail  56.502611
52                           Oil, Gas & Consumable Fuels  19.518198
53                               Paper & Forest Products  35.558000
54                                     Personal Products  27.747960
55                                       Pharmaceuticals  24.125609
56                                 Professional Services  55.221455
57                  Real Estate Management & Development  30.824683
58                                           Road & Rail  63.584255
59              Semiconductors & Semiconductor Equipment  65.389562
60                                              Software  65.334506
61                                      Specialty Retail  73.980078
62            Technology Hardware, Storage & Peripherals  46.738871
63                      Textiles, Apparel & Luxury Goods  38.760732
64                            Thrifts & Mortgage Finance  21.049551
65                                               Tobacco  38.889033
66                      Trading Companies & Distributors  46.280196
67                         Transportation Infrastructure  30.676667
68                                         Uncategorized  10.810962
69                                       Water Utilities  52.391562
70                   Wireless Telecommunication Services  32.334667

                                                Industry Mean ROIC LF
1                                    Aerospace & Defense   -0.7389167
2                                Air Freight & Logistics   12.6233747
3                                               Airlines   10.4894200
4                                        Auto Components    2.4679961
5                                            Automobiles  -23.0932992
6                                                  Banks    7.0678012
7                                              Beverages   -3.0100598
8                                          Biotechnology  -84.7363903
9                                      Building Products   10.0350117
10                                       Capital Markets    4.3920038
11                                             Chemicals    3.2353853
12                        Commercial Services & Supplies    5.2057635
13                              Communications Equipment   -2.0972118
14                            Construction & Engineering    3.9616909
15                                Construction Materials    4.7850290
16                                      Consumer Finance    8.8120451
17                                Containers & Packaging   12.3645129
18                                          Distributors    7.8088261
19                         Diversified Consumer Services   -9.7865101
20                        Diversified Financial Services    6.8971482
21                Diversified Telecommunication Services   -2.2076696
22                                    Electric Utilities    8.7634297
23                                  Electrical Equipment   -6.1013911
24        Electronic Equipment, Instruments & Components  -14.0530254
25                           Energy Equipment & Services  -36.9176902
26                                         Entertainment   -1.6104048
27          Equity Real Estate Investment Trusts (REITs)    3.7841733
28                              Food & Staples Retailing    3.9637308
29                                         Food Products  -15.0805039
30                                         Gas Utilities    5.8059673
31                      Health Care Equipment & Supplies  -53.4051931
32                      Health Care Providers & Services   -2.4812906
33                                Health Care Technology  -12.9280577
34                         Hotels, Restaurants & Leisure    9.8694099
35                                    Household Durables    4.6095085
36                                    Household Products   15.5410421
37 Independent Power and Renewable Electricity Producers    0.7001868
38                              Industrial Conglomerates    9.5850352
39                                             Insurance    6.2803004
40                          Interactive Media & Services   -4.2354837
41                    Internet & Direct Marketing Retail  -23.9496122
42                                           IT Services    8.8835877
43                                      Leisure Products    8.2388586
44                        Life Sciences Tools & Services  -10.0740889
45                                             Machinery    7.8802737
46                                                Marine   -1.6298331
47                                                 Media    2.4724675
48                                       Metals & Mining   -2.2381071
49        Mortgage Real Estate Investment Trusts (REITs)    1.5107985
50                                       Multi-Utilities    5.1407778
51                                      Multiline Retail    8.7382295
52                           Oil, Gas & Consumable Fuels   -0.5492105
53                               Paper & Forest Products    3.9347576
54                                     Personal Products   -7.6140993
55                                       Pharmaceuticals  -78.3962432
56                                 Professional Services    3.7592435
57                  Real Estate Management & Development   -2.3875130
58                                           Road & Rail   -1.7101466
59              Semiconductors & Semiconductor Equipment    5.2735740
60                                              Software  -15.8025431
61                                      Specialty Retail    8.5384584
62            Technology Hardware, Storage & Peripherals   11.8919707
63                      Textiles, Apparel & Luxury Goods    6.9130473
64                            Thrifts & Mortgage Finance    5.3080563
65                                               Tobacco    4.7756944
66                      Trading Companies & Distributors    7.9040144
67                         Transportation Infrastructure    2.7561409
68                                         Uncategorized    0.3376988
69                                       Water Utilities    3.7575575
70                   Wireless Telecommunication Services    1.7835914

                                                Industry  Mean ROE LF
1                                    Aerospace & Defense  11.79886056
2                                Air Freight & Logistics  27.52776497
3                                               Airlines  21.13987034
4                                        Auto Components   5.36955843
5                                            Automobiles -28.42178398
6                                                  Banks  10.37450599
7                                              Beverages   6.72698714
8                                          Biotechnology -85.09759889
9                                      Building Products  12.34978621
10                                       Capital Markets  31.64658046
11                                             Chemicals   8.39512001
12                        Commercial Services & Supplies   8.19072132
13                              Communications Equipment  -7.33638260
14                            Construction & Engineering   4.71079133
15                                Construction Materials  -0.18708960
16                                      Consumer Finance  21.20681482
17                                Containers & Packaging  14.87396186
18                                          Distributors  17.87888312
19                         Diversified Consumer Services  -0.12461715
20                        Diversified Financial Services   4.55748417
21                Diversified Telecommunication Services   1.77321029
22                                    Electric Utilities   8.12184761
23                                  Electrical Equipment -10.19422104
24        Electronic Equipment, Instruments & Components   0.06820871
25                           Energy Equipment & Services -18.55913293
26                                         Entertainment   0.28365011
27          Equity Real Estate Investment Trusts (REITs)   8.75659882
28                              Food & Staples Retailing  11.62583797
29                                         Food Products   5.86737195
30                                         Gas Utilities   9.63285406
31                      Health Care Equipment & Supplies -42.79948295
32                      Health Care Providers & Services   0.24823316
33                                Health Care Technology -13.93322496
34                         Hotels, Restaurants & Leisure  11.10406521
35                                    Household Durables   5.05812304
36                                    Household Products  31.75451031
