Ticker,Name,Price,"GICS Sector
","GICS Ind Name
","ROIC LF
","ROE LF
","Free Cash Flow Margin
","T12M EBITDA Mrgn LF
","Net Mrgn 5Yr Avg LF
","OPM LF
","GM LF
","Interest Coverage Ratio
","Debt/Equity LF
","Debt/Assets LF
","Modified Working Capital Turnover LF
","Inv Turnover LF
","A/R Trnovr LF
","Cash Conversion Cycle LF
","Cash Ratio LF
","Quick Ratio LF
","Curr Ratio LF
"
AACG UQ Equity,ATA Creativity Global,0.98,Consumer Discretionary,Diversified Consumer Services,-4.490568161,-5.249549866,15.33298444,--,-26.34688187,-1475.358032,-1.810222983,0,0,0,5.914731026,--,5.914731026,--,6.823451996,6.874135971,9.345011711
AAL UW Equity,American Airlines Group Inc,16.285,Industrials,Airlines,9.064549446,--,-0.989774515,11.76149273,3.496393919,6.443913937,--,0,--,55.74464417,30.57314682,--,26.48611069,--,0.208945006,0.304515988,0.448145986
AAME UQ Equity,Atlantic American Corp,2.57,Financials,Insurance,--,--,2.252186707,--,--,--,--,0,--,--,--,--,--,--,--,--,--
AAOI UQ Equity,Applied Optoelectronics Inc,8.93,Information Technology,Communications Equipment,-15.38494682,-21.91120148,-16.00182321,-12.31453514,-30.53684616,-24.77290535,23.29730034,0,51.98762512,30.49086952,2.112174988,1.62292695,5.855957031,203.316391,0.656526983,1.035871029,2.110491991
AAON UW Equity,AAON Inc,58.1,Industrials,Building Products,19.4584446,20.37239838,12.94581885,19.51130676,11.64881992,18.94855309,29.68084526,0,0,0,3.74909997,4.62392807,7.723547935,114.3793793,0.478278995,1.681748033,3.347415924
AAPL UW Equity,Apple Inc,293.23,Information Technology,"Technology Hardware, Storage & Peripherals",25.59796906,55.46829224,22.63715821,29.32199669,21.57246399,27.84717751,38.35480881,0,130.4028778,34.27622604,--,36.56686783,13.71080971,-61.98482513,1.048951983,1.254215956,1.597782016
AAWW UW Equity,Atlas Air Worldwide Holdings Inc,24.07,Industrials,Air Freight & Logistics,-6.03909111,-15.18663883,6.089028541,0.170232996,-1.875008941,-69.06320953,32.68955612,0,162.6783905,54.13446426,13.95669079,--,9.792628288,--,0.094534002,0.358478993,0.57546699
AAXN UW Equity,Axon Enterprise Inc,74.58,Industrials,Aerospace & Defense,-0.933009028,0.174511999,9.368571751,1.750555992,1.095224023,-8.37120533,53.90716553,0,1.951995969,1.254554033,3.435687065,6.1583848,3.826611042,121.899292,1.793686032,2.544727087,3.165637016
ABCB UW Equity,Ameris Bancorp,33.87,Financials,Banks,6.242656231,8.224346161,-25.72779794,--,26.22678375,39.05988693,--,0,63.43365097,8.587306023,--,--,--,--,--,--,--
ABEO UR Equity,Abeona Therapeutics Inc,3.025,Health Care,Biotechnology,-63.6711731,-64.91349792,-1612.87525,-3444.219971,--,--,--,0,8.514138222,5.728013992,--,--,--,--,2.367970943,2.367970943,2.45043993
ABIO UR Equity,ARCA biopharma Inc,3.69,Health Care,Biotechnology,-82.28045654,-80.3694458,0,--,--,--,--,0,0,0,--,--,--,--,9.031316757,9.031316757,9.15766716
ABMD UW Equity,ABIOMED Inc,153.94,Health Care,Health Care Equipment & Supplies,22.25699615,25.82942581,27.05801162,33.11129761,27.7036953,31.7076149,81.9499588,0,1.20560205,1.054728985,5.71412611,1.801020026,8.892865181,180.286972,3.386205912,4.186101913,5.041827202
ABTX UQ Equity,Allegiance Bancshares Inc,31.91,Financials,Banks,6.137487888,7.496771812,31.28576879,--,27.41086578,36.64399338,--,0,25.82209206,3.671433926,--,--,--,--,--,--,--
ABUS UW Equity,Arbutus Biopharma Corp,2.985,Health Care,Biotechnology,-87.88432312,--,-1160.706476,-2366.414063,-2444.37207,-2985.984863,--,0,4.151272774,2.960511923,--,--,4.012557983,--,10.2168541,10.49903584,10.69989777
ACAD UW Equity,ACADIA Pharmaceuticals Inc,43.91,Health Care,Biotechnology,-41.2230835,-39.9348526,-44.9040923,-70.36740875,-81.95626831,-57.35919189,94.57518768,0,1.401016951,1.250666022,10.95684528,3.764863968,10.96074104,43.55199814,9.320676804,9.798867226,10.16023827
ACAM UR Equity,Acamar Partners Acquisition Corp,10.13,Uncategorized,Uncategorized,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0.042289998,0.042289998,1.07841301
ACBI UW Equity,Atlantic Capital Bancshares Inc,17.56,Financials,Banks,8.161527634,15.3365078,106.9291953,--,51.91944504,39.0475769,--,0,15.27527237,1.713626027,--,--,--,--,--,--,--
ACER UR Equity,Acer Therapeutics Inc,3.51,Health Care,Pharmaceuticals,-87.01738739,-86.23832703,0,--,--,--,--,0,2.152637959,1.927042961,--,--,--,--,6.682819843,6.682819843,7.085758209
ACGL UW Equity,Arch Capital Group Ltd,40.93,Financials,Insurance,14.42410469,15.57031727,29.02084235,--,20.9061985,21.29575539,--,0,20.35176277,6.615831852,--,--,--,--,--,--,--
ACHC UW Equity,Acadia Healthcare Co Inc,30.47,Health Care,Health Care Providers & Services,4.397775173,4.50217104,1.551813023,17.88797379,-6.118944168,4.288723946,--,0,146.9736023,54.23600769,15.04543686,--,9.447154999,--,0.26789999,1.000843048,1.169626951
ACHV UR Equity,Achieve Life Sciences Inc,0.487,Health Care,Biotechnology,-149.4050446,-150.979599,0,--,--,--,--,0,5.036235809,3.567698956,--,--,--,--,2.349473953,2.349473953,2.433578014
ACIA UW Equity,Acacia Communications Inc,67.26,Information Technology,Communications Equipment,4.432616234,6.074828148,13.12391992,7.243959904,7.171393871,4.751580238,47.15363693,0,3.449724913,2.765953064,5.754233837,7.356470108,4.92282486,57.8757782,2.976891994,3.842768908,4.261244774
ACIU UQ Equity,AC Immune SA,7.28,Health Care,Biotechnology,20.02913857,20.73255539,-638.5321101,44.94060135,-522.3465576,53.80563354,--,0,0.863250971,0.800382972,1494.859009,--,1494.859009,--,15.1625042,15.16963959,22.08464241
ACIW UW Equity,ACI Worldwide Inc,29.095,Information Technology,Software,5.006712914,6.157564163,9.103595821,21.08163834,7.911440849,25.60837173,56.71534348,0,126.9920883,44.05080795,3.98972702,--,3.55762291,--,0.198378995,0.785350025,1.504004955
ACLS UW Equity,Axcelis Technologies Inc,23.04,Information Technology,Semiconductors & Semiconductor Equipment,4.455400944,4.115665913,-7.453682375,8.700626373,5.082466125,12.26478958,41.13884735,0,11.57483864,8.85760498,1.851084948,1.476114035,4.221540928,280.5061035,2.037180901,3.25693202,5.471265793
ACMR UQ Equity,ACM Research Inc,35.01,Information Technology,Semiconductors & Semiconductor Equipment,10.67745209,14.26324272,6.804388891,9.227925301,--,8.669265747,46.15168381,0,18.05481148,9.167660713,1.833305001,1.48448801,2.906092882,302.3096313,0.587863028,1.121196032,2.081231117
ACNB UR Equity,ACNB Corp,31.93,Financials,Banks,7.837803841,13.65085888,38.06114207,--,30.06349182,32.95845032,--,0,63.00665283,6.753985882,--,--,--,--,--,--,--
ACOR UW Equity,Acorda Therapeutics Inc,1.145,Health Care,Biotechnology,-41.16838837,-59.16019058,-113.6091015,-140.3210907,-114.2190781,28.6874218,82.83824158,0,72.10572052,28.02475357,15.62260532,1.285073996,8.455079079,-114.2323685,1.456722975,1.712357044,2.32810092
ACRS UW Equity,Aclaris Therapeutics Inc,1.145,Health Care,Pharmaceuticals,-80.08224487,-113.2165756,-2319.801278,-922.3120728,-2219.361084,-1578.264893,6.118721008,0,6.016135216,4.278869152,--,18.54361534,4.666306973,-590.2577515,3.344106913,3.37548995,3.735867977
ACRX UQ Equity,AcelRx Pharmaceuticals Inc,1.355,Health Care,Pharmaceuticals,--,--,-1389.772199,-1991.05896,-2785.211914,-2225.986816,-253.2894745,0,--,27.47337532,--,3.350364923,11.26218128,46.92229843,7.033504963,7.054851055,7.494444847
ACST UR Equity,Acasti Pharma Inc,0.4397,Health Care,Pharmaceuticals,-351.0632629,--,0,--,--,--,--,0,--,5.036138058,--,--,--,--,1.797356963,1.797356963,2.070485115
ACTG UW Equity,Acacia Research Corp,2.26,Industrials,Professional Services,-6.109464169,-15.62233353,15.84946694,13.42681694,-188.8984222,-300.701355,54.64640427,0,0,0,9.661465645,--,9.661465645,--,16.01844788,16.18862915,16.4089489
ACTT UR Equity,Act II Global Acquisition Corp,10.2,Uncategorized,Uncategorized,--,--,0,--,--,--,--,0,0,0,--,--,--,--,77.64420319,77.64420319,81.93353271
ADAP UW Equity,Adaptimmune Therapeutics Plc,3.66,Health Care,Biotechnology,-70.41437531,-74.03858948,-10169.25134,-11556.8623,--,-4169.643066,--,0,20.59156609,14.02367496,--,--,11.6875,--,2.607436895,2.607436895,3.508605003
ADBE UW Equity,Adobe Inc,349.21,Information Technology,Software,21.03923225,29.67442322,36.05072894,35.84891891,26.58742142,32.41808701,84.89333344,0,39.29920197,19.93154526,9.10222435,--,7.838441849,--,0.509950995,0.697329998,0.792940021
ADES UQ Equity,Advanced Emissions Solutions Inc,8.89,Materials,Chemicals,-6.726379871,35.76809311,-43.24911255,-8.087837219,63.97544861,-12.49673271,37.59995651,0,52.859272,31.73425484,5.073156834,5.009281158,8.045912743,95.14910126,0.387695014,0.673011005,1.261064053
ADI UW Equity,Analog Devices Inc,108.65,Information Technology,Semiconductors & Semiconductor Equipment,7.713020802,10.41358852,33.01129265,40.90533066,21.30018997,20.97540283,65.06327057,0,49.56740189,27.10500526,5.625306129,3.268630028,8.864565849,111.4040527,0.369608998,0.699657977,1.079432011
ADIL UR Equity,Adial Pharmaceuticals Inc,1.57,Health Care,Pharmaceuticals,-106.7017212,-114.2380905,0,--,--,--,--,0,0,0,--,--,--,--,10.97847271,10.97847271,12.22815418
ADMA UQ Equity,ADMA Biologics Inc,3.2,Health Care,Biotechnology,-50.88406372,-152.0813293,-381.3551726,-218.5545044,-306.5105591,-125.3087463,-9.604939461,0,233.4686584,61.2022934,0.831821978,1.438433051,3.735002041,311.7475586,3.168701887,3.65156889,6.423937798
ADMP UR Equity,Adamis Pharmaceuticals Corp,0.5257,Health Care,Pharmaceuticals,-69.58563232,-74.25824738,-239.9003741,-163.2110138,-194.7760468,-118.7266617,32.4245491,0,10.55940437,8.053163528,14.8581152,4.995858192,10.74840641,15.87829113,1.118806005,1.364397049,1.689802051
