Ticker,Name,Price,"GICS Sector
","GICS Ind Name
","P/FCF LF
","P/B LF
","P/S LF
","P/E LF
"
A UN Equity,Agilent Technologies Inc,79.9,Health Care,Life Sciences Tools & Services,43.0893631,5.279208183,4.91719389,30.34565544
AAL UW Equity,American Airlines Group Inc,16.25,Industrials,Airlines,--,--,0.277693003,5.829317093
AAP UN Equity,Advance Auto Parts Inc,126.74,Consumer Discretionary,Specialty Retail,18.87657738,3.088937044,1.15595901,19.85299683
AAPL UW Equity,Apple Inc,293.1,Information Technology,"Technology Hardware, Storage & Peripherals",20.35258675,14.19353199,4.891804218,22.90050316
ABBV UN Equity,AbbVie Inc,90,Health Care,Biotechnology,10.27069664,--,3.943285942,11.03261948
ABC UN Equity,AmerisourceBergen Corp,85.96,Health Care,Health Care Providers & Services,10.40999889,5.921311855,0.097401999,12.62240982
ABMD UW Equity,ABIOMED Inc,151.76,Health Care,Health Care Equipment & Supplies,30.02599716,7.351294994,9.163080215,37.74206924
ABT UN Equity,Abbott Laboratories,79.72,Health Care,Health Care Equipment & Supplies,34.26976776,4.924440861,4.822620869,36.34178925
ACN UN Equity,Accenture PLC,182.48,Information Technology,IT Services,22.22510529,8.429748535,2.915621996,26.8571434
ADBE UW Equity,Adobe Inc,348.01,Information Technology,Software,37.3596344,14.17817593,13.47154236,52.23285294
ADI UW Equity,Analog Devices Inc,108.26,Information Technology,Semiconductors & Semiconductor Equipment,20.33860016,3.457128048,7.039579868,23.30488968
ADM UN Equity,Archer-Daniels-Midland Co,38.1,Consumer Staples,Food Products,--,1.344073057,0.404110998,14.52217293
ADP UW Equity,Automatic Data Processing Inc,159.84,Information Technology,IT Services,27.30023384,13.72416306,5.08702898,29.84431839
ADS UN Equity,Alliance Data Systems Corp,73.86,Information Technology,IT Services,5.490624905,3.362539053,1.002338052,7.806417942
ADSK UW Equity,Autodesk Inc,183.25,Information Technology,Software,31.7729969,--,13.21043491,221.3339691
AEE UN Equity,Ameren Corp,85.39,Utilities,Multi-Utilities,--,2.346216917,3.191400051,22.92537308
AEP UN Equity,American Electric Power Co Inc,97.74,Utilities,Electric Utilities,--,2.373759985,2.998295069,23.63525772
AES UN Equity,AES Corp/VA,16.595,Utilities,Independent Power and Renewable Electricity Producers,215.6247253,4.41009903,1.296340942,14.01404476
AFL UN Equity,Aflac Inc,41.32,Financials,Insurance,7.200137138,1.327648044,1.760632992,11.87590313
AGN UN Equity,Allergan PLC,192.94,Health Care,Pharmaceuticals,9.156060219,1.079844952,3.90854001,3825.46582
AIG UN Equity,American International Group Inc,40.29,Financials,Insurance,--,0.685186982,0.904645026,12.8887558
AIV UN Equity,Apartment Investment & Management Co,49.78,Real Estate,Equity Real Estate Investment Trusts (REITs),--,4.318604946,8.323511124,--
AIZ UN Equity,Assurant Inc,119.72,Financials,Insurance,3.090722084,1.465224981,0.804813981,14.91905212
AJG UN Equity,Arthur J Gallagher & Co,100.88,Financials,Insurance,18.12981796,3.474495888,2.460936069,26.05059242
AKAM UW Equity,Akamai Technologies Inc,92.135,Information Technology,IT Services,28.30738258,3.825531006,4.856332779,28.82505035
ALB UN Equity,Albemarle Corp,84.92,Materials,Chemicals,--,1.969650984,2.156014919,12.40946293
ALGN UW Equity,Align Technology Inc,229.3,Health Care,Health Care Equipment & Supplies,37.03680038,16.25794792,9.205217361,53.10559464
ALK UN Equity,Alaska Air Group Inc,43.82,Industrials,Airlines,8.142219543,1.924098969,0.951169014,10.53033733
ALL UN Equity,Allstate Corp/The,107.23,Financials,Insurance,7.849943161,1.51452601,0.825874984,11.07852173
ALLE UN Equity,Allegion plc,121.79,Industrials,Building Products,27.45657349,15.24664307,4.08438015,25.47857666
ALXN UW Equity,Alexion Pharmaceuticals Inc,93.72,Health Care,Biotechnology,12.50157166,2.12331605,4.833621025,11.61780262
AMAT UW Equity,Applied Materials Inc,58.73,Information Technology,Semiconductors & Semiconductor Equipment,19.1975441,6.579445839,3.823565006,19.89553642
AMCR UN Equity,Amcor PLC,9.36,Materials,Containers & Packaging,26.65447617,3.25624299,1.371595979,36.71377945
AMD UW Equity,Advanced Micro Devices Inc,47.85,Information Technology,Semiconductors & Semiconductor Equipment,205.4185791,19.11234474,7.523264885,100.7828217
AME UN Equity,AMETEK Inc,88.23,Industrials,Electrical Equipment,22.45818329,4.466573238,4.403695107,26.59733391
AMGN UW Equity,Amgen Inc,211.11,Health Care,Biotechnology,17.03873444,14.72887135,6.239820957,18.51967812
AMP UN Equity,Ameriprise Financial Inc,132.99,Financials,Capital Markets,10.23243141,3.60373497,1.731609941,10.44298172
AMT UN Equity,American Tower Corp,244.87,Real Estate,Equity Real Estate Investment Trusts (REITs),36.8170929,20.13391113,13.41057873,53.69814301
AMZN UW Equity,Amazon.com Inc,1918.87,Consumer Discretionary,Internet & Direct Marketing Retail,42.27616501,14.82797813,3.254057884,80.30595398
ANET UN Equity,Arista Networks Inc,196.24,Information Technology,Communications Equipment,16.39066315,5.367601871,6.438848019,23.54894638
ANSS UW Equity,ANSYS Inc,247.09,Information Technology,Software,47.66756439,6.390522003,14.32249641,47.57870865
ANTM UN Equity,Anthem Inc,283.43,Health Care,Health Care Providers & Services,15.55251789,2.407655001,0.744108021,16.36279106
AON UN Equity,Aon PLC,214.16,Financials,Insurance,30.61561394,14.32417965,4.514047146,21.00331497
AOS UN Equity,AO Smith Corp,41.2,Industrials,Building Products,20.05508041,4.640852928,2.638972044,21.36322975
APA UN Equity,Apache Corp,24.04,Energy,"Oil, Gas & Consumable Fuels",--,2.956511021,1.501672029,45.46795273
APD UN Equity,Air Products & Chemicals Inc,232.36,Materials,Chemicals,54.72205734,4.487473011,5.792381763,27.67434883
APH UN Equity,Amphenol Corp,92.95,Information Technology,"Electronic Equipment, Instruments & Components",26.66032028,7.116906166,3.913929939,28.36149025
APTV UN Equity,Aptiv PLC,78.81,Consumer Discretionary,Auto Components,28.76686859,6.3484478,1.698812962,19.77185249
ARE UN Equity,Alexandria Real Estate Equities Inc,160.02,Real Estate,Equity Real Estate Investment Trusts (REITs),--,2.201590061,11.8430748,44.70778275
ARNC UN Equity,Arconic Inc,26.81,Industrials,Aerospace & Defense,--,2.925700903,0.966596007,14.93087006
ATO UN Equity,Atmos Energy Corp,110.63,Utilities,Gas Utilities,--,2.231849909,4.589980125,25.08071709
ATVI UW Equity,Activision Blizzard Inc,61.17,Communication Services,Entertainment,26.56335068,3.56733489,7.016522884,30.84705353
AVB UN Equity,AvalonBay Communities Inc,211.22,Real Estate,Equity Real Estate Investment Trusts (REITs),--,2.683741093,12.55987453,47.11189651
AVGO UW Equity,Broadcom Inc,272.94,Information Technology,Semiconductors & Semiconductor Equipment,12.74458218,5.559666157,5.227264881,34.49205399
AVY UN Equity,Avery Dennison Corp,118.3,Materials,Containers & Packaging,21.04188347,9.11288166,1.568781018,22.24925232
AWK UN Equity,American Water Works Co Inc,138.07,Utilities,Water Utilities,--,3.628959894,6.159514904,32.56998062
AXP UN Equity,American Express Co,109.84,Financials,Consumer Finance,8.672828674,4.370720863,2.192491055,15.20024395
AZO UN Equity,AutoZone Inc,1027.77,Consumer Discretionary,Specialty Retail,17.5284481,--,2.11049509,16.55153465
BA UN Equity,Boeing Co/The,261.79,Industrials,Aerospace & Defense,--,--,2.406444073,--
BAC UN Equity,Bank of America Corp,26.49,Financials,Banks,5.188450813,1.289137006,2.909809113,12.64066887
BAX UN Equity,Baxter International Inc,86.81,Health Care,Health Care Equipment & Supplies,--,--,--,--
BBY UN Equity,Best Buy Co Inc,77.2,Consumer Discretionary,Specialty Retail,12.12310123,6.299460888,0.511797011,14.13570881
BDX UN Equity,Becton Dickinson and Co,241.2,Health Care,Health Care Equipment & Supplies,25.95540047,3.938215017,4.238399029,26.21175385
BEN UN Equity,Franklin Resources Inc,21.92,Financials,Capital Markets,--,1.282299995,2.247833014,9.686767578
BF/B UN Equity,Brown-Forman Corp,61.32,Consumer Staples,Beverages,53.12795258,16.12817574,9.505547523,37.78770828
BIIB UW Equity,Biogen Inc,315.14,Health Care,Biotechnology,8.419977188,3.873910904,3.85512495,9.221599579
BK UN Equity,Bank of New York Mellon Corp/The,38.89,Financials,Capital Markets,--,1.196066022,2.267846107,9.965294838
BKNG UW Equity,Booking Holdings Inc,1641.9301,Consumer Discretionary,Internet & Direct Marketing Retail,19.44659233,14.33678722,5.851506233,20.68923759
BKR UN Equity,Baker Hughes Co,16.79,Energy,Energy Equipment & Services,19.49922562,1.200328946,0.592746019,20.62748337
BLK UN Equity,BlackRock Inc,465.08,Financials,Capital Markets,29.61783409,2.313313007,5.392219067,18.2604847
BLL UN Equity,Ball Corp,76.33,Materials,Containers & Packaging,22.2606945,7.119072914,1.866490006,28.74323082
BMY UN Equity,Bristol-Myers Squibb Co,60.07,Health Care,Pharmaceuticals,15.05478668,2.771722078,4.200789928,15.60983944
BR UN Equity,Broadridge Financial Solutions Inc,99.92,Information Technology,IT Services,29.41221237,12.60208988,3.265814066,31.21707916
BRK/B UN Equity,Berkshire Hathaway Inc,207.58,Financials,Diversified Financial Services,24.42440605,1.299070954,1.69540596,23.14978409
BSX UN Equity,Boston Scientific Corp,37.06,Health Care,Health Care Equipment & Supplies,45.7824707,4.545536041,5.861632824,39.65529251
BWA UN Equity,BorgWarner Inc,29.79,Consumer Discretionary,Auto Components,15.50759315,1.902668953,0.879306018,10.48612309
BXP UN Equity,Boston Properties Inc,134.72,Real Estate,Equity Real Estate Investment Trusts (REITs),744.0068359,3.912120104,7.198176861,37.88668823
C UN Equity,Citigroup Inc,63.181,Financials,Banks,--,0.963684976,1.73606801,9.149904251
CAG UN Equity,Conagra Brands Inc,28.34,Consumer Staples,Food Products,15.74718857,1.837358952,1.32762897,14.89936638
CAH UN Equity,Cardinal Health Inc,52.06,Health Care,Health Care Providers & Services,8.988829613,14.7841444,0.100001998,12.58331013
CAT UN Equity,Caterpillar Inc,121.36,Industrials,Machinery,19.53338623,5.568699837,1.542160988,12.9746294
CB UN Equity,Chubb Ltd,143.32,Financials,Insurance,11.23418236,1.271510005,2.083781004,15.79288197
CBOE UF Equity,Cboe Global Markets Inc,118.81,Financials,Capital Markets,22.34173393,3.957214117,11.74453735,32.77332687
CBRE UN Equity,CBRE Group Inc,56.49,Real Estate,Real Estate Management & Development,22.06760025,3.291830063,0.861177981,16.73049736
CCI UN Equity,Crown Castle International Corp,161.14,Real Estate,Equity Real Estate Investment Trusts (REITs),92.24225616,6.683362961,10.10769081,70.07696533
CCL UN Equity,Carnival Corp,27.87,Consumer Discretionary,"Hotels, Restaurants & Leisure",698.5552368,1.215639949,1.492920995,10.25654316
CDNS UW Equity,Cadence Design Systems Inc,66.96,Information Technology,Software,29.31614494,9.354255676,8.219360352,46.07754135
CDW UW Equity,CDW Corp/DE,113.12,Information Technology,"Electronic Equipment, Instruments & Components",26.22387314,21.27056122,1.149333,27.93559456
CE UN Equity,Celanese Corp,93.71,Materials,Chemicals,14.09805489,5.871415138,2.425391912,12.93300438
CERN UW Equity,Cerner Corp,71.99,Health Care,Health Care Technology,27.56331253,5.277239799,4.097700119,32.90402603
CF UN Equity,CF Industries Holdings Inc,37.84,Materials,Chemicals,9.557479858,3.559881926,2.291141987,26.85997009
CFG UN Equity,Citizens Financial Group Inc,29.48,Financials,Banks,11.52018642,0.853796005,2.263659954,10.53693199
CHD UN Equity,Church & Dwight Co Inc,73.99,Consumer Staples,Household Products,21.89728355,6.470705032,3.973047018,28.24899673
CHRW UW Equity,CH Robinson Worldwide Inc,66.29,Industrials,Air Freight & Logistics,13.39949512,6.313879967,0.699011028,18.69348717
CHTR UW Equity,Charter Communications Inc,502.78,Communication Services,Media,23.37474442,3.239151955,2.325193882,60.37866974
CI UN Equity,Cigna Corp,199.72,Health Care,Health Care Providers & Services,9.141424179,1.680243015,0.502076983,18.35388947
CINF UW Equity,Cincinnati Financial Corp,100.02,Financials,Insurance,14.4913044,1.736510038,2.164868116,25.07387352
CL UN Equity,Colgate-Palmolive Co,71.88,Consumer Staples,Household Products,21.13060188,502.8860779,3.768908978,24.28822708
CLX UN Equity,Clorox Co/The,172.89,Consumer Staples,Household Products,23.95990753,34.58789444,3.169387102,24.10361099
CMA UN Equity,Comerica Inc,46.48,Financials,Banks,10.5905304,1.391477942,2.815457106,9.214326859
